Run Number,Date,Start Time,End Time,Target,Kin,Beam Polarization,Moeller Good quality (0/1 = bad/good),Beam Helicity quality (0/1 = bad/good),Field Measurement Horizontal angle,Field Measurement Vertical Angle,Q2,E Beam
2033,10/17/2022,20:00,20:20,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2034,10/17/2022,20:21,20:45,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2035,10/17/2022,20:54,21:04,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2036,10/17/2022,21:27,21:55,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2037,10/17/2022,21:58,22:43,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2038,10/17/2022,23:19,0:48,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2039,10/18/2022,1:04,1:28,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2040,10/18/2022,1:41,2:46,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2042,10/18/2022,3:38,4:21,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2045,10/18/2022,4:41,5:41,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2046,10/18/2022,5:51,6:01,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2047,10/18/2022,6:07,6:57,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2053,10/18/2022,8:00,9:10,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2054,10/18/2022,9:12,10:15,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2062,10/18/2022,14:26,15:39,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2080,10/19/2022,3:44,4:20,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2081,10/19/2022,4:23,4:44,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2082,10/19/2022,4:58,5:21,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2083,10/19/2022,5:23,5:48,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2084,10/19/2022,5:52,6:59,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2085,10/19/2022,7:10,7:29,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2125,10/21/2022,3:57,4:56,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2126,10/21/2022,4:57,5:39,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2127,10/21/2022,5:43,6:18,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2128,10/21/2022,6:27,6:46,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2131,10/21/2022,7:04,7:14,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2132,10/21/2022,7:16,8:16,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2133,10/21/2022,8:20,9:16,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2134,10/21/2022,9:27,10:27,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2136,10/21/2022,10:48,11:45,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2137,10/21/2022,12:00,13:00,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2138,10/21/2022,13:04,13:19,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2141,10/21/2022,13:35,13:51,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2143,10/21/2022,14:04,14:17,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2145,10/21/2022,14:25,15:06,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2146,10/21/2022,15:21,15:50,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2149,10/21/2022,16:03,17:01,He3,GEN2,84.089,1,0,59.34,1.84,3,4.291
2164,10/22/2022,0:57,2:13,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2165,10/22/2022,2:16,2:47,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2168,10/22/2022,2:57,4:32,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2169,10/22/2022,4:38,4:43,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2170,10/22/2022,4:44,6:00,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2171,10/22/2022,6:02,6:41,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2172,10/22/2022,6:43,8:03,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2173,10/22/2022,9:16,10:19,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
2174,10/22/2022,10:38,11:43,He3,GEN2,84.089,1,1,59.34,1.84,3,4.291
