#RunNumber,Pass,Date,StartTime,EndTime,Target,Kin,SBSfield,BeamPolarization,MollerQuality(0/1 = bad/good),BeamHelicityQuality(0/1 = bad/good),FieldMeasurementHorizontalAngle,FieldMeasurementVerticalAngle,Q2,EBeam
2033,pass2,10/17/22,20:00,20:20,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2034,pass2,10/17/22,20:21,20:45,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2035,pass2,10/17/22,20:54,21:04,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2036,pass2,10/17/22,21:27,21:55,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2037,pass2,10/17/22,21:58,22:43,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2038,pass2,10/17/22,23:19,0:48,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2039,pass2,10/18/22,1:04,1:28,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2040,pass2,10/18/22,1:41,2:46,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2042,pass2,10/18/22,3:38,4:21,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2045,pass2,10/18/22,4:41,5:41,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2046,pass2,10/18/22,5:51,6:01,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2047,pass2,10/18/22,6:07,6:57,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2053,pass2,10/18/22,8:00,9:10,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2054,pass2,10/18/22,9:12,10:15,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2062,pass2,10/18/22,14:26,15:39,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2080,pass2,10/19/22,3:44,4:20,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2081,pass2,10/19/22,4:23,4:44,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2082,pass2,10/19/22,4:58,5:21,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2083,pass2,10/19/22,5:23,5:48,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2084,pass2,10/19/22,5:52,6:59,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2085,pass2,10/19/22,7:10,7:29,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2125,pass2,10/21/22,3:57,4:56,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2126,pass2,10/21/22,4:57,5:39,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2127,pass2,10/21/22,5:43,6:18,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2128,pass2,10/21/22,6:27,6:46,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2131,pass2,10/21/22,7:04,7:14,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2132,pass2,10/21/22,7:16,8:16,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2133,pass2,10/21/22,8:20,9:16,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2134,pass2,10/21/22,9:27,10:27,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2136,pass2,10/21/22,10:48,11:45,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2137,pass2,10/21/22,12:00,13:00,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2138,pass2,10/21/22,13:04,13:19,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2141,pass2,10/21/22,13:35,13:51,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2143,pass2,10/21/22,14:04,14:17,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2145,pass2,10/21/22,14:25,15:06,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2146,pass2,10/21/22,15:21,15:50,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2149,pass2,10/21/22,16:03,17:01,He3,GEN2,100,84.089,1,0,59.34,1.84,3,4.291
2164,pass2,10/22/22,0:57,2:13,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2165,pass2,10/22/22,2:16,2:47,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2168,pass2,10/22/22,2:57,4:32,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2169,pass2,10/22/22,4:38,4:43,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2170,pass2,10/22/22,4:44,6:00,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2171,pass2,10/22/22,6:02,6:41,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2172,pass2,10/22/22,6:43,8:03,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2173,pass2,10/22/22,9:16,10:19,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2174,pass2,10/22/22,10:38,11:43,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2175,pass2,10/22/22,11:45,12:45,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2176,pass2,10/22/22,12:51,13:25,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2199,pass2,10/24/22,7:39,8:42,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2200,pass2,10/24/22,8:45,9:49,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2201,pass2,10/24/22,9:53,10:11,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2203,pass2,10/24/22,10:23,11:24,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2204,pass2,10/24/22,11:27,12:22,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2206,pass2,10/24/22,12:29,13:40,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2208,pass2,10/24/22,13:54,15:07,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2209,pass2,10/24/22,15:30,16:38,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2210,pass2,10/24/22,16:57,18:00,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2211,pass2,10/24/22,18:00,18:05,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2212,pass2,10/24/22,18:18,19:43,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2213,pass2,10/24/22,19:52,21:00,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2214,pass2,10/24/22,21:02,22:14,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2215,pass2,10/24/22,22:15,22:38,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2216,pass2,10/24/22,22:49,0:05,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2217,pass2,10/25/22,0:11,1:12,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2218,pass2,10/25/22,1:15,1:19,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2219,pass2,10/25/22,1:34,3:15,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2220,pass2,10/25/22,3:17,4:09,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2221,pass2,10/25/22,6:27,7:32,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2222,pass2,10/25/22,7:35,8:45,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2223,pass2,10/25/22,8:47,9:47,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2224,pass2,10/25/22,9:48,11:05,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2225,pass2,10/25/22,11:27,12:32,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2226,pass2,10/25/22,12:39,13:45,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2227,pass2,10/25/22,13:47,14:15,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2228,pass2,10/25/22,15:20,17:15,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2229,pass2,10/25/22,17:16,18:53,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2230,pass2,10/25/22,18:54,19:54,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2231,pass2,10/25/22,20:00,23:00,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2232,pass2,10/25/22,21:04,22:08,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2233,pass2,10/25/22,22:10,23:11,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2234,pass2,10/25/22,23:12,0:17,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2235,pass2,10/26/22,0:27,1:06,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2236,pass2,10/26/22,1:09,2:12,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2237,pass2,10/26/22,2:18,3:34,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2238,pass2,10/26/22,3:36,4:49,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2239,pass2,10/26/22,5:00,6:13,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2240,pass2,10/26/22,6:15,7:13,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2241,pass2,10/26/22,7:20,8:20,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2242,pass2,10/26/22,8:23,9:23,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2243,pass2,10/26/22,9:24,9:58,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2244,pass2,10/26/22,10:28,11:29,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
2245,pass2,10/26/22,11:29,12:25,He3,GEN2,100,84.089,1,1,59.34,1.84,3,4.291
